id,real,coherence,fluency,gt_real,gt_adjusted
c4417400c6d29f1cf40107bb4e000a8bc2ed5e8dea7473d1511f79c8cf0f7fcd,1.0,9.0,6.0,1,0
2803a348773deffbcc650d7d2cc549423fae9997d837202fb764ddc1fd3e87e6,1.0,10.0,10.0,1,0
3000221f5abef8c389262d925c101767bba6622aa114403f1e4f8d95e16308da,1.0,10.0,10.0,0,1
41c472d24b60a04f0551cbb97f5c72fc5fcec5a017c37eb09f084f438c53e51d,1.0,8.0,8.0,1,0
4208325861a0c89f9991013a46cf8693ccbb725809b34ce67f451adc5d94ac30,0.0,10.0,8.0,0,1
4a85eef727ab84c570aa117b12614e1c130bfc642f79812f8a5a1db5bee5d0f4,1.0,10.0,10.0,1,0
4c17d5f8047159263183a2272a7fbc90ede44b6323c89e1cdf7beca167d0a5f7,1.0,10.0,10.0,1,0
52c67314a54becc009dd14685ac72e0451e8dfe9d454ec767d6f412e0f60d5df,1.0,10.0,10.0,1,0
554ee0233177e6fb0971962d1e454d516d5596a1a8ed3122a4b1cc443b2ab244,1.0,7.0,9.0,0,1
580c70a2629d81a4f3ee6e0ba9da420346cede4a2c7290793c7c3355aec69220,0.0,7.0,10.0,0,1
2c7b17dc26771cd01ccd51047e71c6631f001c882003ae20f27703196936c718,1.0,10.0,10.0,1,0
5ad99d702c4c548ab5bd917c86bb23f2d05c5f8bd56e6ed34dedbb06bea4cff1,1.0,8.0,10.0,1,0
a4305fe0046f0bb25c8768fa13d6996d88743aebae56537ba26e022b15a820f0,1.0,10.0,10.0,1,0
5d5b5721577bd551454eb8ee3ad2ecaa2c936824a065f7ef369de272345da984,1.0,10.0,8.0,1,0
713fa58775fb31881ddffeb05557ea8ff305bb81c05c76bb599f83389ac2f47f,0.0,5.0,10.0,0,1
715ea242c56726d798423f98851ef0e2a7acb4aa4eb012cc8d32a7cb66852911,0.0,4.0,8.0,0,1
752b749c78330c4fe78d3b4af76226fc65b33718c4febf47287356842de53a25,1.0,10.0,10.0,0,1
75a2982c26d5fe49974ad3a877fcfd9455047ad71f11b471c27d09786c44b063,1.0,10.0,7.0,1,0
7e8e120bdbc9457d5e370500dc0aa922effba5083e32deb12d3da372715ed597,1.0,10.0,10.0,1,0
80330698de1fa202383f2e6cc887c7e2212f91d382f5b47e98aa562a1e4cdadf,0.0,7.0,10.0,0,1
